MilliTime,count,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709536601187,0.0,0.0,0.8134,-0.9408,9.5452,-3.629,10.0054,-38.5662,42.0,80.0,-150.0,21.4,1011.85,11.662173689031448,0.0,0.0,14469841.099452531,216.229472808055,-76.48623620500258,0
1709536601342,0.0,0.0,0.3724,-2.156,9.319799999999999,-8.759,23.6018,-14.1208,36.0,83.0,-150.0,21.4,1011.9,11.745521912018575,0.0,0.0,14469841.099452531,211.97806257795781,-76.48623620500258,0
1709536601426,0.0,0.0,0.2744,-2.2344,9.359,14.379199999999999,15.3786,-8.0902,32.0,82.0,-151.0,21.4,1011.91,10.99541191500504,0.0,0.0,14469841.099452531,209.84791227546157,-76.48623620500258,0
1709536601504,0.0,0.0,0.6467999999999999,-1.5091999999999999,9.5158,-5.092,-4.9438,-7.4442,37.0,80.0,-150.0,21.4,1011.88,10.662047033322137,0.0,0.0,14469841.099452531,213.35054133548908,-76.48623620500258,0
1709536601569,0.0,0.0,0.12739999999999999,-2.0482,9.5452,-6.156,3.5758,-5.5974,38.0,84.0,-147.0,21.4,1011.85,11.412133021838212,0.0,0.0,14469841.099452531,212.8710899366925,-76.48623620500258,0
1709536601633,0.0,0.0,0.43119999999999997,-3.5574,8.9866,-1.5922,-12.7832,0.5016,38.0,84.0,-147.0,21.4,1011.84,11.162098357031416,0.0,0.0,14469841.099452531,212.8710899366925,-76.48623620500258,0
1709536601712,0.0,0.0,0.2254,-0.7545999999999999,9.7216,1.0716,-2.4586,0.57,36.0,81.0,-150.0,21.4,1011.91,11.245442578388209,0.0,0.0,14469841.099452531,212.49248897457818,-76.48623620500258,0
1709536601791,0.0,0.0,0.2646,-0.9212,9.6236,-1.1438,2.0672,1.406,36.0,81.0,-150.0,21.4,1011.93,11.245442578388209,0.0,0.0,14469841.099452531,212.49248897457818,-76.48623620500258,0
1709536601864,0.0,0.0,-0.3038,-0.7938,9.5648,-0.4256,-7.866,-0.7828,33.0,76.0,-149.0,21.4,1011.87,11.245442578388209,0.0,0.0,14469841.099452531,212.00099311816086,-76.48623620500258,0
1709536601951,0.0,0.0,0.6467999999999999,-0.9702,9.653,0.9006,0.0152,0.1672,33.0,82.0,-147.0,21.4,1011.84,11.995570582910503,0.0,0.0,14469841.099452531,210.45177859395915,-76.48623620500258,0
1709536602021,0.0,0.0,-0.098,-0.833,9.6334,0.4332,1.463,0.6764,33.0,82.0,-147.0,21.4,1011.87,11.662173689031448,0.0,0.0,14469841.099452531,210.45177859395915,-76.48623620500258,0
1709536602085,0.0,0.0,0.32339999999999997,-0.9212,9.594199999999999,-0.3382,-1.5124,0.1406,33.0,82.0,-152.0,21.4,1011.9,11.412133021838212,0.0,0.0,14469841.099452531,210.45177859395915,-76.48623620500258,0
1709536602163,0.0,0.0,0.10779999999999999,-0.882,9.6138,-0.3154,-1.3908,-0.0608,36.0,83.0,-148.0,21.4,1011.85,12.495685934452297,0.0,0.0,14469841.099452531,211.97806257795781,-76.48623620500258,0
1709536602245,0.0,0.0,0.2352,-0.9016,9.6138,-0.1824,-0.1406,0.0076,35.0,78.0,-149.0,21.4,1011.88,11.912220358945797,0.0,0.0,14469841.099452531,212.6966298429855,-76.48623620500258,0
1709536602340,0.0,0.0,0.1862,-0.882,9.6236,0.0494,-0.361,-0.0342,33.0,83.0,-151.0,21.4,1011.9,12.495685934452297,0.0,0.0,14469841.099452531,210.21229161324493,-76.48623620500258,0
1709536602443,0.0,0.0,0.1862,-0.8917999999999999,9.6138,0.0038,0.1064,0.1216,35.0,77.0,-151.0,21.4,1011.81,11.662173689031448,0.0,0.0,14469841.099452531,212.97395478041653,-76.48623620500258,0
1709536602534,0.0,0.0,0.1862,-0.8917999999999999,9.6236,0.0266,-0.1596,0.209,36.0,80.0,-151.0,21.4,1011.79,11.912220358945797,0.0,0.0,14469841.099452531,212.75774531795417,-76.48623620500258,0
1709536602620,0.0,0.0,0.1764,-0.8917999999999999,9.6138,0.0988,-0.0152,0.228,36.0,80.0,-151.0,21.4,1011.84,11.245442578388209,0.0,0.0,14469841.099452531,212.75774531795417,-76.48623620500258,0
1709536602701,0.0,0.0,0.1862,-0.8917999999999999,9.6236,0.0038,-0.361,0.209,33.0,84.0,-152.0,21.4,1011.88,11.745521912018575,0.0,0.0,14469841.099452531,209.97773632710533,-76.48623620500258,0
1709536602782,0.0,0.0,0.1764,-0.882,9.6138,0.0608,-0.133,0.0152,38.0,80.0,-151.0,21.4,1011.88,11.745521912018575,0.0,0.0,14469841.099452531,213.93771810894847,-76.48623620500258,0
1709536602867,0.0,0.0,0.196,-0.8917999999999999,9.6334,0.0114,-0.2964,0.1368,35.0,80.0,-150.0,21.4,1011.81,11.245442578388209,0.0,0.0,14469841.099452531,212.15937773065681,-76.48623620500258,0
1709536602954,0.0,0.0,0.1862,-0.8917999999999999,9.6236,-0.19,-0.3534,0.0038,36.0,82.0,-149.0,21.4,1011.84,11.745521912018575,0.0,0.0,14469841.099452531,212.23264595096623,-76.48623620500258,0
1709536603040,0.0,0.0,0.1862,-0.882,9.6138,-0.0342,-0.1938,0.1672,34.0,81.0,-148.0,21.4,1011.84,11.495479243951111,0.0,0.0,14469841.099452531,211.3003789087622,-76.48623620500258,0
