MilliTime,count,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1709519138272,0.0,0.0,-0.9114,0.7545999999999999,9.7706,0.1216,-0.152,0.0988,-33.0,115.0,52.0,26.0,1011.15,17.748347533917112,0.0,0.0,14469841.099452531,532.5188225211915,-76.48623620500258,0
1709519138516,0.0,0.0,-0.9114,0.784,9.7608,0.0646,-0.2242,0.1406,-31.0,116.0,53.0,26.0,1011.19,16.91441482387447,0.0,0.0,14469841.099452531,533.5678447456735,-76.48623620500258,0
1709519138626,0.0,0.0,-0.9016,0.833,9.7608,-0.114,-0.0722,0.076,-30.0,119.0,53.0,26.0,1011.09,17.915142089623092,0.0,0.0,14469841.099452531,534.3805239136548,-76.48623620500258,0
1709519138707,0.0,0.0,-0.9114,0.7938,9.7706,0.019,-0.2394,0.0874,-32.0,120.0,54.0,26.0,1011.18,17.498160709123912,0.0,0.0,14469841.099452531,533.5985828218625,-76.48623620500258,0
1709519138780,0.0,0.0,-0.9212,0.784,9.7706,-0.057,-0.171,0.0836,-30.0,116.0,55.0,26.0,1011.09,17.915142089623092,0.0,0.0,14469841.099452531,534.0298332334474,-76.48623620500258,0
1709519138856,0.0,0.0,-0.9114,0.8231999999999999,9.7608,0.0418,-0.2432,0.1368,-30.0,116.0,55.0,26.0,1011.18,17.915142089623092,0.0,0.0,14469841.099452531,534.0298332334474,-76.48623620500258,0
1709519138932,0.0,0.0,-0.9114,0.8036,9.7608,0.1824,0.0152,0.0304,-30.0,115.0,52.0,26.0,1011.16,17.748347533917112,0.0,0.0,14469841.099452531,533.9091260113684,-76.48623620500258,0
1709519139004,0.0,0.0,-0.9114,0.8134,9.7608,0.0038,-0.1254,0.1178,-29.0,119.0,56.0,26.0,1011.12,17.915142089623092,0.0,0.0,14469841.099452531,534.834123495591,-76.48623620500258,0
1709519139071,0.0,0.0,-0.9114,0.8036,9.7608,-0.0646,-0.0988,0.285,-31.0,116.0,54.0,26.1,1011.16,17.414766436485102,0.0,0.0,14469841.099452531,533.5678447456735,-76.48623620500258,0
1709519139148,0.0,0.0,-0.9016,0.8231999999999999,9.7608,0.076,-0.1026,0.1824,-31.0,116.0,54.0,26.1,1011.15,18.248739215502244,0.0,0.0,14469841.099452531,533.5678447456735,-76.48623620500258,0
1709519139222,0.0,0.0,-0.9114,0.7938,9.7608,-0.0646,-0.152,0.2014,-30.0,117.0,52.0,26.1,1011.13,17.99854036926664,0.0,0.0,14469841.099452531,534.1486054089094,-76.48623620500258,0
1709519139302,0.0,0.0,-0.9016,0.8134,9.7706,-0.0342,-0.0684,0.2014,-32.0,115.0,53.0,26.1,1011.06,17.915142089623092,0.0,0.0,14469841.099452531,532.9801958302984,-76.48623620500258,0
1709519139375,0.0,0.0,-0.9212,0.7938,9.7706,0.133,-0.2052,0.0722,-31.0,115.0,56.0,26.1,1011.12,17.66495125782515,0.0,0.0,14469841.099452531,533.4436459915348,-76.48623620500258,0
1709519139455,0.0,0.0,-0.9016,0.8134,9.7608,0.0836,-0.2508,0.1026,-30.0,116.0,54.0,26.1,1011.19,17.66495125782515,0.0,0.0,14469841.099452531,534.0298332334474,-76.48623620500258,0
1709519139527,0.0,0.0,-0.9114,0.7938,9.7706,-0.057,0.0342,-0.0114,-30.0,116.0,54.0,26.1,1011.24,16.74763629489307,0.0,0.0,14469841.099452531,534.0298332334474,-76.48623620500258,0
1709519139604,0.0,0.0,-0.9114,0.8134,9.7608,-0.19,-0.399,0.1748,-31.0,116.0,53.0,26.1,1011.13,17.748347533917112,0.0,0.0,14469841.099452531,533.5678447456735,-76.48623620500258,0
