MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1722917311803,0.0,0.0,-0.12739999999999999,-0.245,9.9078,-0.2242,-0.1216,0.2052,1315.0,-90.0,-1967.0,30.0,989.97,195.56017044294015,0.0,0.0,14469841.099452531,282.4452784778648,-76.48623620500258,0
1722917311855,0.0,0.0,-0.10779999999999999,-0.2646,9.898,-0.0912,-0.0152,0.0722,1315.0,-90.0,-1967.0,30.0,989.98,195.8146805656925,0.0,0.0,14469841.099452531,282.4452784778648,-76.48623620500258,0
1722917311904,0.0,0.0,-0.1176,-0.2842,9.898,0.0228,-0.0456,0.0836,1314.0,-92.0,-1970.0,30.0,989.95,195.64500645663344,0.0,0.0,14469841.099452531,282.53504076930454,-76.48623620500258,0
1722917311954,0.0,0.0,-0.1176,-0.2646,9.9078,-0.076,0.0836,0.171,1314.0,-92.0,-1970.0,30.0,990.01,195.899518661073,0.0,0.0,14469841.099452531,282.53504076930454,-76.48623620500258,0
1722917312002,0.0,0.0,-0.1176,-0.2646,9.9078,-0.1216,0.038,0.095,1316.0,-91.0,-1968.0,30.0,989.92,195.39050049714723,0.0,0.0,14469841.099452531,282.48564548038416,-76.48623620500258,0
1722917312051,0.0,0.0,-0.1176,-0.2744,9.8882,-0.076,0.0836,0.1292,1316.0,-91.0,-1968.0,30.0,989.94,195.30566656502793,0.0,0.0,14469841.099452531,282.48564548038416,-76.48623620500258,0
1722917312099,0.0,0.0,-0.1176,-0.2744,9.898,-0.095,0.19,0.1672,1312.0,-90.0,-1971.0,30.0,989.97,195.8146805656925,0.0,0.0,14469841.099452531,282.45420315701386,-76.48623620500258,0
1722917312147,0.0,0.0,-0.098,-0.245,9.9078,-0.0722,-0.057,0.19,1312.0,-90.0,-1971.0,30.0,990.03,195.8146805656925,0.0,0.0,14469841.099452531,282.45420315701386,-76.48623620500258,0
1722917312196,0.0,0.0,-0.098,-0.245,9.9078,-0.0722,-0.1254,0.1824,1314.0,-97.0,-1969.0,30.0,989.97,195.13600078227475,0.0,0.0,14469841.099452531,282.75193914743636,-76.48623620500258,0
1722917312244,0.0,0.0,-0.1568,-0.294,9.8882,-0.1254,-0.0342,0.0836,1314.0,-97.0,-1969.0,30.0,989.97,195.30566656502793,0.0,0.0,14469841.099452531,282.75193914743636,-76.48623620500258,0
1722917312292,0.0,0.0,-0.10779999999999999,-0.245,9.9078,-0.0874,-0.0684,0.1444,1317.0,-90.0,-1969.0,30.0,989.91,195.30566656502793,0.0,0.0,14469841.099452531,282.4393511749888,-76.48623620500258,0
1722917312340,0.0,0.0,-0.12739999999999999,-0.2744,9.8882,-0.1368,-0.0456,0.0836,1317.0,-90.0,-1969.0,30.0,990.0,195.899518661073,0.0,0.0,14469841.099452531,282.4393511749888,-76.48623620500258,0
1722917312388,0.0,0.0,-0.1176,-0.25479999999999997,9.898,-0.133,0.0456,0.0038,1316.0,-91.0,-1968.0,30.0,989.95,195.56017044294015,0.0,0.0,14469841.099452531,282.48564548038416,-76.48623620500258,0
1722917312437,0.0,0.0,-0.1176,-0.25479999999999997,9.898,-0.0532,-0.0418,0.0038,1316.0,-91.0,-1968.0,30.0,990.06,195.39050049714723,0.0,0.0,14469841.099452531,282.48564548038416,-76.48623620500258,0
1722917312485,0.0,0.0,-0.1176,-0.2744,9.898,-0.0532,-0.0342,-0.0456,1317.0,-93.0,-1968.0,30.0,990.01,195.899518661073,0.0,0.0,14469841.099452531,282.56923846768785,-76.48623620500258,0
1722917312534,0.0,0.0,-0.12739999999999999,-0.2646,9.8882,0.0304,-0.0304,0.0456,1317.0,-93.0,-1968.0,30.0,989.91,196.06919693362457,0.0,0.0,14469841.099452531,282.56923846768785,-76.48623620500258,0
1722917312584,0.0,0.0,-0.10779999999999999,-0.2646,9.898,-0.209,-0.0418,0.133,1317.0,-91.0,-1967.0,30.1,989.92,196.4085618061951,0.0,0.0,14469841.099452531,282.48265147714034,-76.48623620500258,0
1722917312633,0.0,0.0,-0.1176,-0.2646,9.8882,-0.0912,-0.0646,0.1102,1317.0,-91.0,-1967.0,30.0,989.92,196.06919693362457,0.0,0.0,14469841.099452531,282.48265147714034,-76.48623620500258,0
