MilliTime,count,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1723079884243,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.2394,0.1102,-0.0266,-5.0,85.0,-116.0,31.3,998.17,126.90123362331258,0.0,0.0,14469841.099452531,185.1635393365702,-76.48623620500258,0
1723079884295,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.0912,-0.0114,0.114,-5.0,85.0,-116.0,31.3,998.08,127.65974885139795,0.0,0.0,14469841.099452531,185.1635393365702,-76.48623620500258,0
1723079884344,0.0,0.0,-0.25479999999999997,-0.245,9.937199999999999,-0.266,0.19,0.0304,-5.0,81.0,-116.0,31.3,998.08,126.05850387552691,0.0,0.0,14469841.099452531,184.9977054161091,-76.48623620500258,0
1723079884394,0.0,0.0,-0.25479999999999997,-0.25479999999999997,9.9176,-0.1026,-0.0912,0.0722,-5.0,81.0,-116.0,31.3,998.05,126.90123362331258,0.0,0.0,14469841.099452531,184.9977054161091,-76.48623620500258,0
1723079884443,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1102,-0.0798,0.0494,-6.0,84.0,-117.0,31.3,998.2,127.15406587902525,0.0,0.0,14469841.099452531,184.44438322002514,-76.48623620500258,0
1723079884491,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1064,-0.0836,0.133,-6.0,84.0,-117.0,31.4,998.13,126.81695757213797,0.0,0.0,14469841.099452531,184.44438322002514,-76.48623620500258,0
1723079884540,0.0,0.0,-0.245,-0.245,9.9274,-0.133,0.0646,0.0,-5.0,83.0,-117.0,31.4,998.08,126.64840752080441,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079884588,0.0,0.0,-0.2646,-0.245,9.9274,-0.1482,0.0722,0.0684,-5.0,83.0,-117.0,31.4,998.08,127.32262413477586,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079884636,0.0,0.0,-0.25479999999999997,-0.245,9.937199999999999,0.0304,0.095,0.0114,-5.0,83.0,-117.0,31.4,998.17,127.06978777674638,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079884685,0.0,0.0,-0.25479999999999997,-0.25479999999999997,9.9274,-0.133,0.1976,0.1026,-5.0,83.0,-117.0,31.4,998.05,127.15406587902525,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079884733,0.0,0.0,-0.25479999999999997,-0.25479999999999997,9.9274,-0.0608,0.0684,0.0038,-5.0,82.0,-119.0,31.4,998.05,127.40690428827713,0.0,0.0,14469841.099452531,185.0406750942036,-76.48623620500258,0
1723079884781,0.0,0.0,-0.25479999999999997,-0.2352,9.9274,-0.1672,0.1254,0.0608,-5.0,82.0,-119.0,31.4,998.11,126.81695757213797,0.0,0.0,14469841.099452531,185.0406750942036,-76.48623620500258,0
1723079884830,0.0,0.0,-0.25479999999999997,-0.25479999999999997,9.947,-0.1824,0.095,0.0494,-8.0,83.0,-118.0,31.4,998.17,126.64840752080441,0.0,0.0,14469841.099452531,183.02452214202165,-76.48623620500258,0
1723079884878,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.0684,0.0912,0.0076,-8.0,83.0,-118.0,31.4,998.05,125.63716463610885,0.0,0.0,14469841.099452531,183.02452214202165,-76.48623620500258,0
1723079884926,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.114,-0.057,0.1178,-5.0,86.0,-119.0,31.4,998.1,127.40690428827713,0.0,0.0,14469841.099452531,185.20259575827345,-76.48623620500258,0
1723079884976,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1102,-0.2394,0.1976,-5.0,86.0,-119.0,31.4,998.08,126.90123362331258,0.0,0.0,14469841.099452531,185.20259575827345,-76.48623620500258,0
1723079885025,0.0,0.0,-0.2646,-0.245,9.9274,-0.1064,0.0342,0.0266,-8.0,84.0,-119.0,31.4,998.02,127.06978777674638,0.0,0.0,14469841.099452531,183.0896679689945,-76.48623620500258,0
1723079885074,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.133,0.0532,0.0874,-8.0,84.0,-119.0,31.4,998.11,126.90123362331258,0.0,0.0,14469841.099452531,183.0896679689945,-76.48623620500258,0
1723079885124,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.076,-0.152,0.0076,-5.0,83.0,-117.0,31.4,998.17,127.15406587902525,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079885173,0.0,0.0,-0.25479999999999997,-0.245,9.937199999999999,-0.152,0.1482,0.0608,-5.0,83.0,-117.0,31.4,998.11,126.90123362331258,0.0,0.0,14469841.099452531,185.0826131481348,-76.48623620500258,0
1723079885223,0.0,0.0,-0.25479999999999997,-0.245,9.937199999999999,-0.057,0.0532,0.0646,-8.0,83.0,-118.0,31.4,998.13,126.90123362331258,0.0,0.0,14469841.099452531,183.02452214202165,-76.48623620500258,0
1723079885272,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1064,-0.0076,0.1406,-8.0,83.0,-118.0,31.4,998.11,126.90123362331258,0.0,0.0,14469841.099452531,183.02452214202165,-76.48623620500258,0
1723079885322,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1482,-0.019,0.1406,-6.0,82.0,-116.0,31.4,998.13,126.14277377405806,0.0,0.0,14469841.099452531,184.3450838748816,-76.48623620500258,0
1723079885371,0.0,0.0,-0.25479999999999997,-0.25479999999999997,9.9274,-0.0038,0.0874,0.1672,-6.0,82.0,-116.0,31.4,998.11,127.15406587902525,0.0,0.0,14469841.099452531,184.3450838748816,-76.48623620500258,0
1723079885421,0.0,0.0,-0.25479999999999997,-0.245,9.947,-0.1292,0.0798,0.133,-6.0,81.0,-118.0,31.4,998.1,126.31131562186536,0.0,0.0,14469841.099452531,184.29360520094116,-76.48623620500258,0
1723079885470,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.1786,-0.0304,-0.019,-6.0,81.0,-118.0,31.4,998.1,126.64840752080441,0.0,0.0,14469841.099452531,184.29360520094116,-76.48623620500258,0
1723079885520,0.0,0.0,-0.25479999999999997,-0.245,9.9274,-0.0038,-0.1634,-0.0418,-7.0,82.0,-117.0,31.4,998.11,126.14277377405806,0.0,0.0,14469841.099452531,183.6507262169933,-76.48623620500258,0
