MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1722505628432,0.0,0.0,0.6566,10.4076,1.2054,-9.6938,-13.1936,3.268,-141.0,42.0,-115.0,43.2,1002.43,89.80164993418668,0.0,0.0,14469841.099452531,475.1173385569274,-76.48623620500258,0
1722505628485,0.0,0.0,0.8134,10.339,1.3426,-9.082,-11.3202,-0.4332,-141.0,42.0,-115.0,43.2,1002.46,89.80164993418668,0.0,0.0,14469841.099452531,475.1173385569274,-76.48623620500258,0
1722505628542,0.0,0.0,0.9506,10.2018,1.3916,-6.6158,-10.3968,-0.4408,-139.0,43.0,-113.0,43.2,1002.46,89.80164993418668,0.0,0.0,14469841.099452531,475.7195845561537,-76.48623620500258,0
1722505628592,0.0,0.0,1.1368,10.2606,1.5777999999999999,-2.3674,-13.4672,-2.831,-139.0,46.0,-117.0,43.2,1002.51,90.22153884530016,0.0,0.0,14469841.099452531,476.84120003151554,-76.48623620500258,0
1722505628643,0.0,0.0,1.0877999999999999,10.3096,1.568,0.1102,-15.1316,-3.1806,-139.0,46.0,-117.0,43.2,1002.6,90.22153884530016,0.0,0.0,14469841.099452531,476.84120003151554,-76.48623620500258,0
1722505628693,0.0,0.0,1.1956,10.3194,1.5091999999999999,-0.2014,-13.1442,0.6574,-138.0,47.0,-116.0,43.2,1002.46,90.64144471434784,0.0,0.0,14469841.099452531,477.3378011270346,-76.48623620500258,0
1722505628743,0.0,0.0,1.1172,10.142999999999999,1.4896,-4.5258,-13.1974,0.9842,-138.0,47.0,-116.0,43.2,1002.49,90.13755970649136,0.0,0.0,14469841.099452531,477.3378011270346,-76.48623620500258,0
1722505628793,0.0,0.0,1.1172,10.142999999999999,1.4896,-3.7088,-14.5084,-0.3382,-140.0,52.0,-116.0,43.2,1002.52,90.64144471434784,0.0,0.0,14469841.099452531,478.9064352138364,-76.48623620500258,0
1722505628843,0.0,0.0,1.2152,10.1724,1.3034,-4.4156,-13.015,-2.0672,-140.0,52.0,-116.0,43.2,1002.49,89.71767418678164,0.0,0.0,14469841.099452531,478.9064352138364,-76.48623620500258,0
1722505628893,0.0,0.0,1.323,10.1626,1.2838,-4.0128,-11.039,-0.5548,-137.0,53.0,-114.0,43.2,1002.44,90.38949915787913,0.0,0.0,14469841.099452531,479.6795260919231,-76.48623620500258,0
1722505628944,0.0,0.0,1.4405999999999999,10.2312,1.3524,-3.1464,-10.5868,-0.285,-137.0,53.0,-114.0,43.2,1002.51,90.13755970649136,0.0,0.0,14469841.099452531,479.6795260919231,-76.48623620500258,0
1722505628994,0.0,0.0,1.5091999999999999,10.0646,1.4602,-3.3896,-4.1724,3.3136,-139.0,53.0,-113.0,43.2,1002.54,89.46575101398228,0.0,0.0,14469841.099452531,479.40159706973213,-76.48623620500258,0
1722505629043,0.0,0.0,1.5091999999999999,10.0646,1.4798,-1.71,0.057,4.9324,-139.0,53.0,-113.0,43.2,1002.49,89.54972472669174,0.0,0.0,14469841.099452531,479.40159706973213,-76.48623620500258,0
1722505629093,0.0,0.0,1.6268,10.0646,1.4798,2.8272,0.5282,2.9222,-137.0,54.0,-113.0,43.2,1002.43,89.96960346377604,0.0,0.0,14469841.099452531,480.04240422234636,-76.48623620500258,0
1722505629144,0.0,0.0,1.568,10.0352,1.5974,5.928,0.3838,-2.071,-137.0,54.0,-113.0,43.2,1002.37,89.96960346377604,0.0,0.0,14469841.099452531,480.04240422234636,-76.48623620500258,0
