MilliTime,Phase,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng,Distance,Azimuth,Angle,Direction
1722505408778,0.0,0.0,-0.41159999999999997,10.241,1.8326,-3.9482,6.365,-1.3186,-139.0,12.0,-110.0,42.9,1002.46,90.64144471434784,0.0,0.0,14469841.099452531,463.46416434056005,-76.48623620500258,0
1722505408833,0.0,0.0,-0.245,9.9764,1.9305999999999999,-0.8702,6.954,6.2092,-139.0,12.0,-110.0,42.9,1002.43,90.64144471434784,0.0,0.0,14469841.099452531,463.46416434056005,-76.48623620500258,0
1722505408887,0.0,0.0,-0.21559999999999999,9.937199999999999,2.0678,0.3192,5.6734,7.3112,-140.0,6.0,-112.0,42.9,1002.41,90.64144471434784,0.0,0.0,14469841.099452531,460.98403167452705,-76.48623620500258,0
1722505408937,0.0,0.0,-0.1372,10.045,2.058,5.3998,4.4118,4.598,-140.0,6.0,-112.0,42.9,1002.43,90.72542792324177,0.0,0.0,14469841.099452531,460.98403167452705,-76.48623620500258,0
1722505408987,0.0,0.0,-0.1372,10.045,2.058,7.752,-3.4542,4.7918,-141.0,10.0,-109.0,42.9,1002.36,91.64928799759748,0.0,0.0,14469841.099452531,462.58673786129486,-76.48623620500258,0
1722505409037,0.0,0.0,0.0,10.1038,1.9404,7.6532,-4.3548,2.2496,-141.0,10.0,-109.0,42.9,1002.41,91.1453541438323,0.0,0.0,14469841.099452531,462.58673786129486,-76.48623620500258,0
1722505409087,0.0,0.0,-0.10779999999999999,10.2018,1.8032,-0.5738,-4.7766,2.2686,-140.0,15.0,-110.0,42.9,1002.38,90.64144471434784,0.0,0.0,14469841.099452531,464.6455035662854,-76.48623620500258,0
1722505409137,0.0,0.0,0.0098,10.348799999999999,1.8619999999999999,-2.9412,-9.7584,-2.185,-140.0,15.0,-110.0,42.9,1002.38,91.39731801751738,0.0,0.0,14469841.099452531,464.6455035662854,-76.48623620500258,0
1722505409187,0.0,0.0,0.0784,10.3978,1.8228,-0.7296,-11.2366,-5.7608,-143.0,16.0,-104.0,42.8,1002.21,90.89339637622231,0.0,0.0,14469841.099452531,464.9141639395125,-76.48623620500258,0
1722505409237,0.0,0.0,0.0784,10.3978,1.8228,-0.19,-10.4614,0.2584,-143.0,16.0,-108.0,43.0,1002.41,90.89339637622231,0.0,0.0,14469841.099452531,464.9141639395125,-76.48623620500258,0
1722505409287,0.0,0.0,0.2646,10.2606,1.813,-0.4256,-11.1948,0.247,-139.0,16.0,-108.0,43.0,1002.46,91.64928799759748,0.0,0.0,14469841.099452531,465.0962986207463,-76.48623620500258,0
1722505409336,0.0,0.0,0.2646,10.2704,1.813,0.361,-10.4994,-0.0114,-139.0,15.0,-108.0,43.0,1002.18,92.23724170008836,0.0,0.0,14469841.099452531,464.68916302914306,-76.48623620500258,0
1722505409386,0.0,0.0,0.294,10.2606,1.7149999999999999,-0.836,-8.4588,-1.3376,-144.0,15.0,-108.0,43.0,1002.47,91.31332938115096,0.0,0.0,14469841.099452531,464.4768630539735,-76.48623620500258,0
1722505409436,0.0,0.0,0.41159999999999997,10.3586,1.7052,-1.3148,-13.8168,-1.1514,-142.0,23.0,-106.0,42.9,1002.46,90.22153884530016,0.0,0.0,14469841.099452531,467.73040046907033,-76.48623620500258,0
1722505409488,0.0,0.0,0.3724,10.3096,1.6268,-4.4726,-12.1676,-4.3016,-142.0,23.0,-106.0,43.0,1002.29,90.22153884530016,0.0,0.0,14469841.099452531,467.73040046907033,-76.48623620500258,0
1722505409537,0.0,0.0,0.3724,10.3096,1.6268,-3.4466,-7.9838,0.7144,-141.0,23.0,-109.0,43.0,1002.43,92.825228654541,0.0,0.0,14469841.099452531,467.79452398513297,-76.48623620500258,0
1722505409588,0.0,0.0,0.6467999999999999,10.2214,1.6856,0.114,-7.524,-1.0564,-141.0,23.0,-109.0,43.0,1002.4,91.1453541438323,0.0,0.0,14469841.099452531,467.79452398513297,-76.48623620500258,0
1722505409637,0.0,0.0,0.5194,10.074399999999999,1.5777999999999999,0.8968,-5.0312,-1.2236,-138.0,26.0,-111.0,43.0,1002.47,90.47348033167881,0.0,0.0,14469841.099452531,469.1997828044967,-76.48623620500258,0
1722505409688,0.0,0.0,0.5781999999999999,9.9764,1.5582,-1.6492,0.665,1.653,-138.0,26.0,-111.0,43.0,1002.4,90.64144471434784,0.0,0.0,14469841.099452531,469.1997828044967,-76.48623620500258,0
1722505409740,0.0,0.0,0.6664,10.1332,1.7149999999999999,-1.4972,3.3136,2.451,-141.0,22.0,-108.0,42.9,1002.44,89.71767418678164,0.0,0.0,14469841.099452531,467.3982628332076,-76.48623620500258,0
1722505409790,0.0,0.0,0.6664,10.1332,1.6856,1.216,0.19,3.629,-141.0,22.0,-108.0,43.0,1002.52,90.64144471434784,0.0,0.0,14469841.099452531,467.3982628332076,-76.48623620500258,0
1722505409841,0.0,0.0,0.6859999999999999,10.3096,1.6856,-0.2926,6.821,3.3478,-141.0,22.0,-109.0,43.0,1002.46,91.31332938115096,0.0,0.0,14469841.099452531,467.3982628332076,-76.48623620500258,0
1722505409890,0.0,0.0,0.6272,10.4468,1.7542,-2.926,9.8116,4.2522,-141.0,22.0,-109.0,43.0,1002.41,90.47348033167881,0.0,0.0,14469841.099452531,467.3982628332076,-76.48623620500258,0
1722505409939,0.0,0.0,0.6174,10.3586,1.7052,0.4674,8.2992,1.653,-141.0,21.0,-111.0,43.0,1002.35,90.38949915787913,0.0,0.0,14469841.099452531,467.00114463301486,-76.48623620500258,0
1722505409989,0.0,0.0,0.5488,10.3586,1.7835999999999999,1.0526,6.4448,-1.463,-141.0,21.0,-111.0,43.0,1002.38,90.38949915787913,0.0,0.0,14469841.099452531,467.00114463301486,-76.48623620500258,0
1722505410038,0.0,0.0,0.4508,10.3194,1.7835999999999999,-0.608,6.8362,0.9044,-139.0,20.0,-109.0,43.0,1002.4,90.72542792324177,0.0,0.0,14469841.099452531,466.7178020119045,-76.48623620500258,0
1722505410087,0.0,0.0,0.4508,10.3194,1.7835999999999999,0.1406,8.8616,-1.0982,-139.0,20.0,-109.0,43.0,1002.44,90.47348033167881,0.0,0.0,14469841.099452531,466.7178020119045,-76.48623620500258,0
1722505410136,0.0,0.0,0.32339999999999997,10.2998,1.6954,-2.28,5.5784,-0.6612,-139.0,19.0,-110.0,43.0,1002.47,90.47348033167881,0.0,0.0,14469841.099452531,466.3135595264654,-76.48623620500258,0
